graph;kmm;backtracks;ac3_time;mac3_time;total_time
[(0,1),(0,7),(1,2),(2,3),(4,2),(5,4),(6,5),(8,7),(8,9),(10,9),(10,12),(12,13),(11,10),(14,7),(15,14),(15,17),(17,18),(16,15),(18,19)];false;34;3.9ms;684.9µs;4.6ms
[(0,1),(0,7),(1,2),(2,3),(4,2),(5,4),(6,5),(8,7),(9,8),(9,10),(10,11),(11,12),(13,7),(13,14),(15,14),(15,18),(18,19),(16,15),(17,16)];false;22;6.6ms;445.2µs;7.0ms
[(1,0),(1,2),(0,6),(2,3),(3,4),(4,5),(7,6),(7,8),(8,9),(10,8),(11,10),(12,11),(13,6),(13,15),(14,13),(16,15),(16,18),(18,19),(17,16)];false;27;3.9ms;475.5µs;4.4ms
[(1,0),(1,2),(0,6),(2,3),(3,4),(4,5),(7,6),(7,8),(8,9),(10,8),(11,10),(12,6),(12,15),(13,12),(14,13),(16,15),(16,18),(18,19),(17,16)];false;27;6.5ms;444.0µs;6.9ms
[(1,0),(1,2),(0,6),(2,3),(3,4),(4,5),(7,6),(7,8),(8,9),(10,8),(11,10),(12,6),(12,14),(13,12),(15,14),(15,18),(18,19),(16,15),(17,16)];false;27;5.5ms;523.1µs;6.0ms
[(1,0),(2,1),(2,3),(3,4),(4,5),(6,0),(6,7),(6,13),(13,14),(13,16),(8,7),(8,9),(9,10),(11,9),(12,11),(14,15),(17,16),(18,17),(19,18)];false;33;3.4ms;779.2µs;4.2ms
[(0,1),(0,6),(1,2),(3,2),(4,3),(5,4),(7,6),(7,8),(9,8),(9,11),(11,12),(10,9),(13,6),(14,13),(15,14),(16,13),(16,17),(17,18),(18,19)];false;36;3.0ms;653.0µs;3.7ms
[(0,1),(2,1),(3,2),(4,3),(5,4),(6,0),(6,7),(6,13),(13,14),(8,7),(8,10),(10,11),(9,8),(11,12),(15,13),(15,16),(16,17),(18,16),(19,18)];false;21;3.1ms;304.1µs;3.4ms
[(0,1),(2,1),(3,2),(4,3),(5,4),(6,0),(6,7),(6,12),(12,13),(8,7),(8,10),(10,11),(9,8),(13,14),(15,12),(15,16),(16,17),(18,16),(19,18)];false;21;2.5ms;308.5µs;2.8ms
[(0,1),(2,1),(3,2),(4,3),(5,4),(6,0),(6,7),(6,12),(12,13),(8,7),(8,10),(10,11),(9,8),(14,12),(14,15),(15,18),(18,19),(16,15),(17,16)];false;20;3.2ms;338.4µs;3.5ms
[(1,0),(1,3),(3,4),(2,1),(4,5),(6,0),(6,7),(8,7),(9,8),(10,9),(11,6),(11,12),(12,13),(13,14),(15,6),(15,16),(16,17),(18,16),(19,18)];false;25;2.3ms;303.2µs;2.6ms
[(1,0),(2,1),(3,2),(4,3),(5,0),(5,10),(6,5),(6,7),(7,8),(8,9),(11,10),(11,13),(13,14),(12,11),(15,5),(15,16),(16,17),(18,16),(19,18)];false;24;2.0ms;559.4µs;2.6ms
