graph;majority;backtracks;ac3_time;mac3_time;total_time
[(0,1),(0,5),(1,2),(2,3),(3,4),(5,11),(6,5),(6,8),(7,6),(8,9),(9,10),(12,11),(12,14),(13,12),(14,15)];deny;0;2.4ms;158.8µs;2.5ms
[(1,0),(2,1),(3,2),(4,3),(5,0),(5,6),(6,7),(8,6),(9,8),(10,9),(11,5),(11,12),(12,13),(14,12),(15,14)];deny;0;4.7ms;182.4µs;4.9ms
