graph;kmm;backtracks;ac3_time;mac3_time;total_time
[(1,0),(1,2),(0,7),(0,14),(3,2),(3,4),(4,5),(5,6),(8,7),(9,8),(9,10),(10,11),(11,12),(12,13),(15,14),(15,16),(16,17),(18,17),(19,18),(20,19),(21,20)];false;23;4.4ms;411.2µs;4.8ms
[(0,1),(0,14),(2,1),(3,2),(3,4),(4,5),(5,6),(7,0),(7,8),(9,8),(9,10),(10,11),(11,12),(12,13),(15,14),(15,16),(16,17),(18,17),(19,18),(20,19),(21,20)];false;25;3.9ms;417.0µs;4.3ms
[(1,0),(1,2),(0,7),(2,3),(4,3),(5,4),(6,5),(8,7),(8,9),(10,9),(11,10),(12,11),(13,12),(14,0),(14,15),(16,15),(17,16),(17,18),(18,19),(19,20),(20,21)];false;29;4.0ms;578.8µs;4.5ms
[(0,1),(2,1),(2,3),(4,3),(5,4),(6,5),(7,0),(7,8),(8,9),(10,9),(11,10),(12,11),(13,12),(14,0),(14,15),(16,15),(17,16),(17,18),(18,19),(19,20),(20,21)];false;28;4.5ms;753.9µs;5.2ms
